"","district_reporting","nutrition_no_access_perc","malnut_extreme_perc","malnut_severe_perc","malnut_stress_perc","nutrition_no_access","malnut_extreme","malnut_severe","malnut_stress","malnutrition_score","htr_nut_score","htr_nut_rank","htr_nut_rank_high"
"39","giro",0.952380952380952,0.0476190476190476,0.19047619047619,0.714285714285714,6,0,0,2,2,8,3,1
"40","gomal",0.971428571428571,0.428571428571429,0.457142857142857,0.114285714285714,6,3,2,0,2,8,3,1
"41","hesarak",0.393939393939394,0.0303030303030303,0.181818181818182,0.151515151515152,3,0,0,0,0,3,1,0
"42","imam_sahib",0.933333333333333,0.616666666666667,0.333333333333333,0.05,6,6,2,0,6,12,4,1
"43","jawand",0.958333333333333,0.458333333333333,0.25,0.222222222222222,6,3,0,0,0,6,2,0
"44","jorm",0.708333333333333,0.208333333333333,0.666666666666667,0.125,6,0,4,0,4,10,4,1
"45","kakar",1,0.0810810810810811,0.891891891891892,0.027027027027027,6,0,4,0,4,10,4,1
"46","khak_e_safed",0.875,0.3125,0.5,0.125,6,3,2,0,2,8,3,1
"47","khakrez",0.916666666666667,0.611111111111111,0.222222222222222,0.111111111111111,6,6,0,0,6,12,4,1
"48","khan_abad",0.964285714285714,0.142857142857143,0.678571428571429,0.178571428571429,6,0,4,0,4,10,4,1
"49","khas_kunar",0.65,0.9,0.1,0,6,6,0,0,6,12,4,1
"50","khas_uruzgan",0.673913043478261,0.543478260869565,0.456521739130435,0,6,6,2,0,6,12,4,1
"51","khogyani",0.743589743589744,0.435897435897436,0.230769230769231,0.333333333333333,6,3,0,1,1,7,3,1
"52","khwaja_gahr",1,0,0.884615384615385,0.115384615384615,6,0,4,0,4,10,4,1
"53","khwaja_sabz_posh",1,0.15,0.55,0.3,6,0,4,1,4,10,4,1
"54","kot",1,0.285714285714286,0.357142857142857,0.357142857142857,6,3,2,1,2,8,3,1
"55","lashkargah",0.666666666666667,0.121212121212121,0.272727272727273,0.515151515151515,6,0,2,2,2,8,3,1
"56","marawara",1,0.333333333333333,0.2,0.4,6,3,0,1,1,7,3,1
"57","maruf",0.909090909090909,0.025974025974026,0.636363636363636,0.337662337662338,6,0,4,1,4,10,4,1
"58","maywand",0.886363636363636,0.636363636363636,0.272727272727273,0.0909090909090909,6,6,2,0,6,12,4,1
"59","mohammad_agha",0.842105263157895,0,0.210526315789474,0.736842105263158,6,0,0,2,2,8,3,1
"60","muhmand_dara",0.764705882352941,0.470588235294118,0.352941176470588,0.176470588235294,6,3,2,0,2,8,3,1
"61","muqur_badghis",0.75,0,0.5,0.333333333333333,6,0,2,1,2,8,3,1
"62","muqur_ghazni",0.862068965517241,0.0344827586206897,0.206896551724138,0.620689655172414,6,0,0,2,2,8,3,1
"63","musa_qala",0.962962962962963,0.037037037037037,0.851851851851852,0.111111111111111,6,0,4,0,4,10,4,1
"64","nad_e_ali",0.25,0.0625,0.8125,0.125,0,0,4,0,4,4,2,0
"65","nahr_e_seraj",0.36231884057971,0.159420289855072,0.304347826086957,0.536231884057971,3,0,2,2,2,5,2,0
"66","nawzad",0.977777777777778,0.511111111111111,0.311111111111111,0.177777777777778,6,6,2,0,6,12,4,1
"67","nesh",0.454545454545455,0.363636363636364,0.363636363636364,0.272727272727273,3,3,2,1,2,5,2,0
"68","pasaband",0.877551020408163,0.0408163265306122,0.285714285714286,0.591836734693878,6,0,2,2,2,8,3,1
"69","pashtun_kot",0.982456140350877,0.0701754385964912,0.421052631578947,0.491228070175439,6,0,2,1,2,8,3,1
"70","pul_e_khumri",0.931818181818182,0,0,0.954545454545455,6,0,0,2,2,8,3,1
"71","pur_chaman",0.73015873015873,0.126984126984127,0.317460317460317,0.238095238095238,6,0,2,0,2,8,3,1
"72","pusht_rod",0.916666666666667,0,0.0833333333333333,0.333333333333333,6,0,0,1,1,7,3,1
"73","qaisar",0.837209302325581,0.0232558139534884,0.186046511627907,0.767441860465116,6,0,0,2,2,8,3,1
"74","qala_e_zal",0.7,0,0,0.15,6,0,0,0,0,6,2,0
"75","qarabagh",0.683544303797468,0.0759493670886076,0.113924050632911,0.493670886075949,6,0,0,1,1,7,3,1
"76","raghestan",0.727272727272727,0.484848484848485,0.393939393939394,0.0909090909090909,6,3,2,0,2,8,3,1
"77","reg",1,0.7,0.2,0.1,6,6,0,0,6,12,4,1
"78","reg_i_khan_nishin",0.823529411764706,0.176470588235294,0.588235294117647,0.235294117647059,6,0,4,0,4,10,4,1
"79","rostaq",0.863636363636364,0,0.318181818181818,0.681818181818182,6,0,2,2,2,8,3,1
"80","sabari",0.85,0,0,0.15,6,0,0,0,0,6,2,0
"81","sangin",0.814814814814815,0.148148148148148,0.592592592592593,0.259259259259259,6,0,4,1,4,10,4,1
"82","sarobi",0.566666666666667,0.866666666666667,0.133333333333333,0,6,6,0,0,6,12,4,1
"83","sayed_abad",0.6,0,0.2,0.7,6,0,0,2,2,8,3,1
"84","shah_joi",1,0.0232558139534884,0.697674418604651,0.255813953488372,6,0,4,1,4,10,4,1
"85","shah_wali_kot",0.678571428571429,0.339285714285714,0.375,0.285714285714286,6,3,2,1,2,8,3,1
"86","shahid_e_hassas",0.578947368421053,0.210526315789474,0.263157894736842,0.526315789473684,6,0,2,2,2,8,3,1
"87","sheltan",0.888888888888889,0.111111111111111,0.111111111111111,0.777777777777778,6,0,0,2,2,8,3,1
"88","sher_zad",0.806451612903226,0.0967741935483871,0.354838709677419,0.548387096774194,6,0,2,2,2,8,3,1
"89","shigal",0.851851851851852,0,0.185185185185185,0.814814814814815,6,0,0,2,2,8,3,1
"90","shindand",1,0.470588235294118,0.470588235294118,0.0588235294117647,6,3,2,0,2,8,3,1
"91","shirin_tagab",0.91304347826087,0.304347826086957,0,0.695652173913043,6,3,0,2,2,8,3,1
"92","sozmaqala",0.215686274509804,0,0.549019607843137,0.450980392156863,0,0,4,1,4,4,2,0
"93","surkh_rod",0.634146341463415,0.536585365853659,0.414634146341463,0.0487804878048781,6,6,2,0,6,12,4,1
"94","tirinkot",0.724137931034483,0,0,0.96551724137931,6,0,0,2,2,8,3,1
"95","urgun",0.875,0.03125,0.375,0.53125,6,0,2,2,2,8,3,1
"96","waghaz",1,0.285714285714286,0.285714285714286,0.285714285714286,6,3,2,1,2,8,3,1
"97","wal_e_muhammad_e_shahid",0.833333333333333,0.277777777777778,0.5,0.222222222222222,6,3,2,0,2,8,3,1
"98","watapur",0.958333333333333,0.666666666666667,0.166666666666667,0.166666666666667,6,6,0,0,6,12,4,1
"99","zheray",1,0,0.304347826086957,0.695652173913043,6,0,2,2,2,8,3,1
"100","zurmat",0.880952380952381,0.0476190476190476,0.428571428571429,0.5,6,0,2,1,2,8,3,1
